author_a,author_b,weight
https://openalex.org/A5000454665,https://openalex.org/A5019590449,1
https://openalex.org/A5000454665,https://openalex.org/A5022478726,1
https://openalex.org/A5000454665,https://openalex.org/A5037686662,1
https://openalex.org/A5000454665,https://openalex.org/A5038861039,1
https://openalex.org/A5000454665,https://openalex.org/A5040953013,1
https://openalex.org/A5000454665,https://openalex.org/A5041984169,9
https://openalex.org/A5000454665,https://openalex.org/A5044536467,1
https://openalex.org/A5000454665,https://openalex.org/A5045578289,1
https://openalex.org/A5000454665,https://openalex.org/A5046058590,2
https://openalex.org/A5000454665,https://openalex.org/A5052102727,1
https://openalex.org/A5000454665,https://openalex.org/A5053346531,9
https://openalex.org/A5000454665,https://openalex.org/A5056726283,1
https://openalex.org/A5000454665,https://openalex.org/A5084149681,1
https://openalex.org/A5000454665,https://openalex.org/A5086223530,1
https://openalex.org/A5000454665,https://openalex.org/A5093447219,1
https://openalex.org/A5000454665,https://openalex.org/A5099250012,1
https://openalex.org/A5000454665,https://openalex.org/A5110850725,4
https://openalex.org/A5000454665,https://openalex.org/A5113257863,1
https://openalex.org/A5000460965,https://openalex.org/A5003506922,1
https://openalex.org/A5000468108,https://openalex.org/A5069582006,1
https://openalex.org/A5000484329,https://openalex.org/A5083749002,4
https://openalex.org/A5000484708,https://openalex.org/A5082495175,1
https://openalex.org/A5000486060,https://openalex.org/A5000698530,2
https://openalex.org/A5000486060,https://openalex.org/A5078970572,1
https://openalex.org/A5000488251,https://openalex.org/A5032047875,5
https://openalex.org/A5000493990,https://openalex.org/A5057499439,1
https://openalex.org/A5000497432,https://openalex.org/A5060046886,1
https://openalex.org/A5000512051,https://openalex.org/A5042193765,2
https://openalex.org/A5000512663,https://openalex.org/A5045708908,1
https://openalex.org/A5000516600,https://openalex.org/A5058909401,1
https://openalex.org/A5000527645,https://openalex.org/A5059593166,1
https://openalex.org/A5000532994,https://openalex.org/A5054965218,1
https://openalex.org/A5000534190,https://openalex.org/A5087222856,4
https://openalex.org/A5000536746,https://openalex.org/A5083749002,1
https://openalex.org/A5000554056,https://openalex.org/A5091909614,1
https://openalex.org/A5000557468,https://openalex.org/A5017070147,4
https://openalex.org/A5000576550,https://openalex.org/A5038537752,2
https://openalex.org/A5000581283,https://openalex.org/A5025806342,2
https://openalex.org/A5000584872,https://openalex.org/A5089533174,1
https://openalex.org/A5000589425,https://openalex.org/A5004610882,1
https://openalex.org/A5000591908,https://openalex.org/A5083749002,3
https://openalex.org/A5000596513,https://openalex.org/A5008657637,1
https://openalex.org/A5000596513,https://openalex.org/A5037686662,1
https://openalex.org/A5000596513,https://openalex.org/A5048856760,1
https://openalex.org/A5000596513,https://openalex.org/A5068379221,1
https://openalex.org/A5000603132,https://openalex.org/A5032113341,2
https://openalex.org/A5000603132,https://openalex.org/A5037686662,3
https://openalex.org/A5000604813,https://openalex.org/A5003377510,1
https://openalex.org/A5000605706,https://openalex.org/A5080282405,1
https://openalex.org/A5000607818,https://openalex.org/A5082495175,1
https://openalex.org/A5000630723,https://openalex.org/A5000641613,1
https://openalex.org/A5000631600,https://openalex.org/A5007881357,1
https://openalex.org/A5000641613,https://openalex.org/A5000921334,1
https://openalex.org/A5000641613,https://openalex.org/A5001091220,1
https://openalex.org/A5000641613,https://openalex.org/A5003404633,1
https://openalex.org/A5000641613,https://openalex.org/A5003442026,1
https://openalex.org/A5000641613,https://openalex.org/A5003633943,1
https://openalex.org/A5000641613,https://openalex.org/A5003852220,1
https://openalex.org/A5000641613,https://openalex.org/A5004000592,13
https://openalex.org/A5000641613,https://openalex.org/A5004492854,1
https://openalex.org/A5000641613,https://openalex.org/A5005406011,1
https://openalex.org/A5000641613,https://openalex.org/A5005492584,4
https://openalex.org/A5000641613,https://openalex.org/A5006723704,1
https://openalex.org/A5000641613,https://openalex.org/A5006831769,1
https://openalex.org/A5000641613,https://openalex.org/A5006860169,1
https://openalex.org/A5000641613,https://openalex.org/A5007394573,1
https://openalex.org/A5000641613,https://openalex.org/A5007693704,1
https://openalex.org/A5000641613,https://openalex.org/A5008733869,1
https://openalex.org/A5000641613,https://openalex.org/A5009543862,1
https://openalex.org/A5000641613,https://openalex.org/A5009929395,1
https://openalex.org/A5000641613,https://openalex.org/A5011712783,1
https://openalex.org/A5000641613,https://openalex.org/A5011898882,4
https://openalex.org/A5000641613,https://openalex.org/A5012608047,1
https://openalex.org/A5000641613,https://openalex.org/A5014955182,3
https://openalex.org/A5000641613,https://openalex.org/A5015089536,1
https://openalex.org/A5000641613,https://openalex.org/A5015639192,1
https://openalex.org/A5000641613,https://openalex.org/A5015973191,1
https://openalex.org/A5000641613,https://openalex.org/A5017300210,4
https://openalex.org/A5000641613,https://openalex.org/A5017656609,1
https://openalex.org/A5000641613,https://openalex.org/A5018536803,1
https://openalex.org/A5000641613,https://openalex.org/A5019065488,1
https://openalex.org/A5000641613,https://openalex.org/A5019319693,1
https://openalex.org/A5000641613,https://openalex.org/A5019611700,1
https://openalex.org/A5000641613,https://openalex.org/A5020551853,1
https://openalex.org/A5000641613,https://openalex.org/A5021385293,1
https://openalex.org/A5000641613,https://openalex.org/A5021554981,1
https://openalex.org/A5000641613,https://openalex.org/A5021859036,1
https://openalex.org/A5000641613,https://openalex.org/A5022302259,1
https://openalex.org/A5000641613,https://openalex.org/A5022352499,1
https://openalex.org/A5000641613,https://openalex.org/A5022389672,6
https://openalex.org/A5000641613,https://openalex.org/A5023258593,1
https://openalex.org/A5000641613,https://openalex.org/A5025703747,1
https://openalex.org/A5000641613,https://openalex.org/A5026766020,1
https://openalex.org/A5000641613,https://openalex.org/A5026990772,1
https://openalex.org/A5000641613,https://openalex.org/A5027088064,1
https://openalex.org/A5000641613,https://openalex.org/A5027966013,1
https://openalex.org/A5000641613,https://openalex.org/A5028689467,2
https://openalex.org/A5000641613,https://openalex.org/A5029823433,1
https://openalex.org/A5000641613,https://openalex.org/A5029863480,1
https://openalex.org/A5000641613,https://openalex.org/A5030003392,1
https://openalex.org/A5000641613,https://openalex.org/A5030128534,1
https://openalex.org/A5000641613,https://openalex.org/A5030306707,1
https://openalex.org/A5000641613,https://openalex.org/A5031580700,14
https://openalex.org/A5000641613,https://openalex.org/A5032484592,4
https://openalex.org/A5000641613,https://openalex.org/A5032796960,1
https://openalex.org/A5000641613,https://openalex.org/A5033388582,1
https://openalex.org/A5000641613,https://openalex.org/A5033702410,12
https://openalex.org/A5000641613,https://openalex.org/A5033810441,1
https://openalex.org/A5000641613,https://openalex.org/A5033983598,3
https://openalex.org/A5000641613,https://openalex.org/A5034021682,2
https://openalex.org/A5000641613,https://openalex.org/A5034454888,1
https://openalex.org/A5000641613,https://openalex.org/A5034675324,1
https://openalex.org/A5000641613,https://openalex.org/A5035239641,1
https://openalex.org/A5000641613,https://openalex.org/A5035892225,1
https://openalex.org/A5000641613,https://openalex.org/A5036710484,1
https://openalex.org/A5000641613,https://openalex.org/A5037671183,1
https://openalex.org/A5000641613,https://openalex.org/A5038288091,1
https://openalex.org/A5000641613,https://openalex.org/A5038351979,1
https://openalex.org/A5000641613,https://openalex.org/A5039353457,1
https://openalex.org/A5000641613,https://openalex.org/A5041791226,1
https://openalex.org/A5000641613,https://openalex.org/A5044247462,8
https://openalex.org/A5000641613,https://openalex.org/A5044651047,1
https://openalex.org/A5000641613,https://openalex.org/A5045273466,1
https://openalex.org/A5000641613,https://openalex.org/A5046145589,1
https://openalex.org/A5000641613,https://openalex.org/A5047740964,1
https://openalex.org/A5000641613,https://openalex.org/A5047885029,1
https://openalex.org/A5000641613,https://openalex.org/A5048132014,1
https://openalex.org/A5000641613,https://openalex.org/A5049923289,1
https://openalex.org/A5000641613,https://openalex.org/A5051540293,1
https://openalex.org/A5000641613,https://openalex.org/A5051698059,1
https://openalex.org/A5000641613,https://openalex.org/A5052527656,1
https://openalex.org/A5000641613,https://openalex.org/A5052650685,1
https://openalex.org/A5000641613,https://openalex.org/A5053255955,1
https://openalex.org/A5000641613,https://openalex.org/A5053330272,1
https://openalex.org/A5000641613,https://openalex.org/A5053777057,2
https://openalex.org/A5000641613,https://openalex.org/A5054476100,1
https://openalex.org/A5000641613,https://openalex.org/A5055133570,1
https://openalex.org/A5000641613,https://openalex.org/A5055976881,5
https://openalex.org/A5000641613,https://openalex.org/A5056291770,1
https://openalex.org/A5000641613,https://openalex.org/A5056546717,3
https://openalex.org/A5000641613,https://openalex.org/A5057253667,1
https://openalex.org/A5000641613,https://openalex.org/A5057543932,1
https://openalex.org/A5000641613,https://openalex.org/A5057567288,1
https://openalex.org/A5000641613,https://openalex.org/A5057847085,2
https://openalex.org/A5000641613,https://openalex.org/A5058084620,3
https://openalex.org/A5000641613,https://openalex.org/A5058828501,1
https://openalex.org/A5000641613,https://openalex.org/A5059040421,1
https://openalex.org/A5000641613,https://openalex.org/A5059111744,1
https://openalex.org/A5000641613,https://openalex.org/A5059864250,2
https://openalex.org/A5000641613,https://openalex.org/A5060042814,1
https://openalex.org/A5000641613,https://openalex.org/A5061273217,1
https://openalex.org/A5000641613,https://openalex.org/A5061527817,1
https://openalex.org/A5000641613,https://openalex.org/A5063060613,1
https://openalex.org/A5000641613,https://openalex.org/A5063592135,1
https://openalex.org/A5000641613,https://openalex.org/A5063866024,2
https://openalex.org/A5000641613,https://openalex.org/A5064195842,1
https://openalex.org/A5000641613,https://openalex.org/A5064567346,1
https://openalex.org/A5000641613,https://openalex.org/A5065739750,2
https://openalex.org/A5000641613,https://openalex.org/A5066628703,2
https://openalex.org/A5000641613,https://openalex.org/A5067435245,1
https://openalex.org/A5000641613,https://openalex.org/A5067657672,1
https://openalex.org/A5000641613,https://openalex.org/A5068564249,1
https://openalex.org/A5000641613,https://openalex.org/A5068567075,6
https://openalex.org/A5000641613,https://openalex.org/A5070479981,1
https://openalex.org/A5000641613,https://openalex.org/A5070794109,9
https://openalex.org/A5000641613,https://openalex.org/A5071323487,1
https://openalex.org/A5000641613,https://openalex.org/A5072401145,1
https://openalex.org/A5000641613,https://openalex.org/A5072416816,3
https://openalex.org/A5000641613,https://openalex.org/A5073382307,4
https://openalex.org/A5000641613,https://openalex.org/A5073412002,1
https://openalex.org/A5000641613,https://openalex.org/A5073477121,1
https://openalex.org/A5000641613,https://openalex.org/A5073944719,2
https://openalex.org/A5000641613,https://openalex.org/A5074654866,1
https://openalex.org/A5000641613,https://openalex.org/A5075865629,1
https://openalex.org/A5000641613,https://openalex.org/A5076600857,1
https://openalex.org/A5000641613,https://openalex.org/A5076878204,1
https://openalex.org/A5000641613,https://openalex.org/A5077095951,1
https://openalex.org/A5000641613,https://openalex.org/A5077501498,1
https://openalex.org/A5000641613,https://openalex.org/A5077801155,4
https://openalex.org/A5000641613,https://openalex.org/A5078281025,1
https://openalex.org/A5000641613,https://openalex.org/A5079125846,1
https://openalex.org/A5000641613,https://openalex.org/A5080329473,1
https://openalex.org/A5000641613,https://openalex.org/A5080706269,2
https://openalex.org/A5000641613,https://openalex.org/A5081369832,1
https://openalex.org/A5000641613,https://openalex.org/A5082289582,1
https://openalex.org/A5000641613,https://openalex.org/A5082316584,1
https://openalex.org/A5000641613,https://openalex.org/A5083431830,1
https://openalex.org/A5000641613,https://openalex.org/A5083623837,1
https://openalex.org/A5000641613,https://openalex.org/A5083914664,1
https://openalex.org/A5000641613,https://openalex.org/A5085830181,2
https://openalex.org/A5000641613,https://openalex.org/A5087305275,2
https://openalex.org/A5000641613,https://openalex.org/A5087841118,5
https://openalex.org/A5000641613,https://openalex.org/A5088144572,1
https://openalex.org/A5000641613,https://openalex.org/A5088316796,1
https://openalex.org/A5000641613,https://openalex.org/A5088886565,1
https://openalex.org/A5000641613,https://openalex.org/A5089712003,5
https://openalex.org/A5000641613,https://openalex.org/A5090152794,3
https://openalex.org/A5000641613,https://openalex.org/A5090241930,15
https://openalex.org/A5000641613,https://openalex.org/A5091304678,2
https://openalex.org/A5000641613,https://openalex.org/A5091638377,1
https://openalex.org/A5000641613,https://openalex.org/A5092797080,1
https://openalex.org/A5000641613,https://openalex.org/A5093290776,1
https://openalex.org/A5000641613,https://openalex.org/A5094652811,1
https://openalex.org/A5000641613,https://openalex.org/A5094652812,1
https://openalex.org/A5000641613,https://openalex.org/A5094652813,1
https://openalex.org/A5000641613,https://openalex.org/A5094652814,1
https://openalex.org/A5000641613,https://openalex.org/A5094652815,1
https://openalex.org/A5000641613,https://openalex.org/A5094652816,1
https://openalex.org/A5000641613,https://openalex.org/A5094652817,1
https://openalex.org/A5000641613,https://openalex.org/A5094652818,1
https://openalex.org/A5000641613,https://openalex.org/A5094652819,1
https://openalex.org/A5000641613,https://openalex.org/A5094652820,1
https://openalex.org/A5000641613,https://openalex.org/A5094652821,1
https://openalex.org/A5000641613,https://openalex.org/A5094652822,1
https://openalex.org/A5000641613,https://openalex.org/A5100442853,1
https://openalex.org/A5000641613,https://openalex.org/A5100666729,1
https://openalex.org/A5000641613,https://openalex.org/A5100670637,1
https://openalex.org/A5000641613,https://openalex.org/A5100684804,1
https://openalex.org/A5000641613,https://openalex.org/A5100705815,1
https://openalex.org/A5000641613,https://openalex.org/A5101062012,2
https://openalex.org/A5000641613,https://openalex.org/A5101148268,1
https://openalex.org/A5000641613,https://openalex.org/A5101148269,1
https://openalex.org/A5000641613,https://openalex.org/A5101148270,1
https://openalex.org/A5000641613,https://openalex.org/A5101148271,1
https://openalex.org/A5000641613,https://openalex.org/A5101403717,1
https://openalex.org/A5000641613,https://openalex.org/A5101413574,1
https://openalex.org/A5000641613,https://openalex.org/A5101503888,2
https://openalex.org/A5000641613,https://openalex.org/A5101831829,1
https://openalex.org/A5000641613,https://openalex.org/A5102439953,1
https://openalex.org/A5000641613,https://openalex.org/A5103053843,1
https://openalex.org/A5000641613,https://openalex.org/A5103202243,5
https://openalex.org/A5000641613,https://openalex.org/A5104024727,1
https://openalex.org/A5000641613,https://openalex.org/A5104024728,1
https://openalex.org/A5000641613,https://openalex.org/A5104024729,1
https://openalex.org/A5000641613,https://openalex.org/A5104183412,1
https://openalex.org/A5000641613,https://openalex.org/A5107903794,1
https://openalex.org/A5000641613,https://openalex.org/A5108251466,2
https://openalex.org/A5000641613,https://openalex.org/A5108366508,2
https://openalex.org/A5000641613,https://openalex.org/A5109535172,1
https://openalex.org/A5000641613,https://openalex.org/A5109921267,1
https://openalex.org/A5000641613,https://openalex.org/A5110250376,1
https://openalex.org/A5000641613,https://openalex.org/A5110835436,1
https://openalex.org/A5000641613,https://openalex.org/A5110918306,1
https://openalex.org/A5000641613,https://openalex.org/A5110938965,1
https://openalex.org/A5000641613,https://openalex.org/A5111939710,1
https://openalex.org/A5000641613,https://openalex.org/A5112328982,1
https://openalex.org/A5000641613,https://openalex.org/A5112654265,1
https://openalex.org/A5000641613,https://openalex.org/A5112726329,1
https://openalex.org/A5000641613,https://openalex.org/A5112730110,1
https://openalex.org/A5000641613,https://openalex.org/A5112865092,1
https://openalex.org/A5000641613,https://openalex.org/A5114120390,1
https://openalex.org/A5000641613,https://openalex.org/A5114676446,1
https://openalex.org/A5000641613,https://openalex.org/A5115905409,1
https://openalex.org/A5000641613,https://openalex.org/A5116414011,1
https://openalex.org/A5000641613,https://openalex.org/A5116414012,1
https://openalex.org/A5000655461,https://openalex.org/A5004018336,1
https://openalex.org/A5000655461,https://openalex.org/A5079361824,9
https://openalex.org/A5000657088,https://openalex.org/A5022071915,1
https://openalex.org/A5000658598,https://openalex.org/A5020952746,1
https://openalex.org/A5000670366,https://openalex.org/A5048856760,1
https://openalex.org/A5000670366,https://openalex.org/A5068379221,1
https://openalex.org/A5000677191,https://openalex.org/A5082210445,1
https://openalex.org/A5000691465,https://openalex.org/A5042193765,22
https://openalex.org/A5000691465,https://openalex.org/A5061490527,2
