"profil","stanowisko","jednostka","wydzial","h_index_scopus","h_index_wos","sum_IF","sum_SNIP","sum_MEiN"
"Mirosław Kościelecki",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Joanna Kowalska","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",11,11,71.442,27.285,1862
"Bartosz Kozak","adiunkt","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",12,12,101.818,34.286,2841
"Marcin Kozak","profesor","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",12,10,88.291,32.419,3955
"Magdalena Kręcisz","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",5,8,53.3,16.596,1732
"Jan Krężel","adiunkt","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",3,2,8.44,3.409,466
"Mateusz Krupski","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",6,5,27.845,11.862,1305
"Aleksander Krzyś","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",1,1,7.077,2.159,1097
"Zofia Kubińska",NA,"Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",1,1,3.7,1.14,140
"Piotr Kuc","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",4,4,14.798,5.15,689
"Grzegorz Kulczycki","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",9,8,73.47,21.74,1962
"Krzysztof Lech","profesor","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",31,30,219.49,82.735,5113
"Anna Lehmann-Skoczylas","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",1,1,1.225,1.064,143
"Agnieszka Lejman","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",7,6,28.171,13.839,844
"Krzysztof Lejman","profesor uczelni","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",4,3,18.833,6.268,1170
"Sylwia Lewandowska","profesor uczelni","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",9,9,60.814,23.825,2280
