profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Adela Adamus,prof. dr hab. inż.,profesor,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1341-9524,,,,4.0,9.0,31.917,17.89,924.0,55.0,UR9797ee10b032453e97fb3c8ca3cf198a,https://repo.ur.krakow.pl/info/author/UR9797ee10b032453e97fb3c8ca3cf198a?lang=pl&r=publication&tab=main,
Magdalena Bacior,dr,adiunkt,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0003-4615-9458,,,,,6.0,24.713,10.428,840.0,15.0,UR420661b0ffb94198aedb10d157442408,https://repo.ur.krakow.pl/info/author/UR420661b0ffb94198aedb10d157442408?lang=pl&r=publication&tab=main,
Rafał Barański,prof. dr hab. inż.,profesor,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0001-9276-3870,,,,14.0,18.0,153.858,44.603,3562.0,70.0,URc20a130ba25d4c6ebfc735894af9a85a,https://repo.ur.krakow.pl/info/author/URc20a130ba25d4c6ebfc735894af9a85a?lang=pl&r=publication&tab=main,
Renata Bączek-Kwinta,prof. dr hab. inż.,profesor,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0002-9079-171X,,,,13.0,14.0,74.154,38.727,1943.0,94.0,URbbe27ff4a8e04600b4169d9d9b8a9cce,https://repo.ur.krakow.pl/info/author/URbbe27ff4a8e04600b4169d9d9b8a9cce?lang=pl&r=publication&tab=main,
"Monika Bienasz, prof. URK",dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-3275-6262,,,,6.0,10.0,87.213,38.217,3146.0,107.0,UR2d269aae2f154d9199eaa325b36bd07f,https://repo.ur.krakow.pl/info/author/UR2d269aae2f154d9199eaa325b36bd07f?lang=pl&r=publication&tab=main,
Jan Błaszczyk,dr hab. inż.,adiunkt,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-2975-6712,,,,6.0,7.0,25.327,16.096,1400.0,145.0,URe7719e6944cb44feb316726df7623f5b,https://repo.ur.krakow.pl/info/author/URe7719e6944cb44feb316726df7623f5b?lang=pl&r=publication&tab=main,
Elżbieta Boligłowa,prof. dr hab. inż.,Profesor,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0002-1882-9496,,,,3.0,7.0,43.04,15.744,1642.0,49.0,UR45b272a3c5874ceda8391a017b0f8d56,https://repo.ur.krakow.pl/info/author/UR45b272a3c5874ceda8391a017b0f8d56?lang=pl&r=publication&tab=main,
"Krzysztof Buksa, prof. URK",dr hab. inż.,profesor uczelni,Katedra Technologii Węglowodanów i Przetwórstwa Zbóż,Wydział Technologii Żywności,0000-0002-2509-5881,,,,8.0,20.0,146.153,55.869,4117.0,196.0,URd5f715833daf411bae0a140485699e28,https://repo.ur.krakow.pl/info/author/URd5f715833daf411bae0a140485699e28?lang=pl&r=publication&tab=main,
"Ewa Capecka, prof. URK",dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1594-9828,,,,1.0,3.0,17.979,7.395,663.0,16.0,UR5571b1a932fb41efabcbcfa7945c6a22,https://repo.ur.krakow.pl/info/author/UR5571b1a932fb41efabcbcfa7945c6a22?lang=pl&r=publication&tab=main,
Pablo F. Cavagnaro,dr,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,,,,,1.0,4.0,45.748,12.839,970.0,11.0,URK80437f56851f463c85e018e47a30298c,https://repo.ur.krakow.pl/info/author/URK80437f56851f463c85e018e47a30298c?lang=pl&r=publication&tab=main,
"Maria Jolanta Chmiel, prof. URK",dr hab. inż.,profesor uczelni,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0003-0075-6337,,,,7.0,7.0,57.384,18.491,1814.0,54.0,UR619b5729a15d4148b2e3fda26cdd9f78,https://repo.ur.krakow.pl/info/author/UR619b5729a15d4148b2e3fda26cdd9f78?lang=pl&r=publication&tab=main,
Maciej Chowaniak,dr inż.,adiunkt,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-3154-3126,,,,4.0,9.0,38.167,16.322,1604.0,46.0,UR752b82534365454f8855db9eee1b3679,https://repo.ur.krakow.pl/info/author/UR752b82534365454f8855db9eee1b3679?lang=pl&r=publication&tab=main,
Alicja Chuda,dr inż.,adiunkt naukowo-dydaktyczny,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,,,,,1.0,1.0,0.625,1.045,35.0,5.0,UR113d9f0ed4b04f96a312caa4430c91f8,https://repo.ur.krakow.pl/info/author/UR113d9f0ed4b04f96a312caa4430c91f8?lang=pl&r=publication&tab=main,
Monika Cioć,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0003-0325-5706,,,,4.0,8.0,37.894,14.021,1145.0,38.0,URb50d5444a99a453d97e17d90c8ce2936,https://repo.ur.krakow.pl/info/author/URb50d5444a99a453d97e17d90c8ce2936?lang=pl&r=publication&tab=main,
Monika Czaja,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0002-6428-5346,,,,,3.0,23.616,7.778,801.0,24.0,UR9a0f55cc5f804def8497fb24df0b5dbf,https://repo.ur.krakow.pl/info/author/UR9a0f55cc5f804def8497fb24df0b5dbf?lang=pl&r=publication&tab=main,
"Tomasz Czech, prof. URK",dr inż.,profesor uczelni,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0003-1590-7126,,,,3.0,11.0,55.177,20.914,1410.0,56.0,URe35d100502c448e9a3bd00b67eb22dba,https://repo.ur.krakow.pl/info/author/URe35d100502c448e9a3bd00b67eb22dba?lang=pl&r=publication&tab=main,
"Małgorzata Czernicka, prof. URK",dr inż.,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0001-5768-5758,,,,5.0,11.0,87.297,24.146,2238.0,30.0,UR08377034b946481cbaec2dd851470ffe,https://repo.ur.krakow.pl/info/author/UR08377034b946481cbaec2dd851470ffe?lang=pl&r=publication&tab=main,
Teresa Dąbkowska,prof. dr hab. inż.,profesor,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-7157-9625,,,,3.0,4.0,7.402,4.13,335.0,25.0,URd6314db2e251481f90647b605f7ed37f,https://repo.ur.krakow.pl/info/author/URd6314db2e251481f90647b605f7ed37f?lang=pl&r=publication&tab=main,
Joanna Dłużniewska,dr inż.,adiunkt,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0002-2617-9139,,,,,3.0,15.274,7.872,585.0,19.0,UR2d3475edc2174edab585d0e01861c685,https://repo.ur.krakow.pl/info/author/UR2d3475edc2174edab585d0e01861c685?lang=pl&r=publication&tab=main,
Barbara Domagała,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-1908-1096,,,,2.0,5.0,29.005,12.139,1418.0,53.0,UR471f281ebf804a5bbc74b8133beebc79,https://repo.ur.krakow.pl/info/author/UR471f281ebf804a5bbc74b8133beebc79?lang=pl&r=publication&tab=main,
"Iwona Domagała-Świątkiewicz, prof. URK",dr hab. inż.,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0001-6630-5286,,,,2.0,10.0,40.785,21.231,1695.0,108.0,URe85447401311450983f960e94ba83def,https://repo.ur.krakow.pl/info/author/URe85447401311450983f960e94ba83def?lang=pl&r=publication&tab=main,
Aleksandra Duda,prof. dr hab.,profesor,Katedra Technologii Fermentacji i Mikrobiologii,Wydział Technologii Żywności,0000-0003-1041-3274,,,,18.0,22.0,140.147,56.201,4032.0,186.0,URca18764ccd2342679e11c54596d72ae4,https://repo.ur.krakow.pl/info/author/URca18764ccd2342679e11c54596d72ae4?lang=pl&r=publication&tab=main,
Ewa Dziedzic,dr hab. inż.,adiunkt,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-0570-6163,,,,4.0,10.0,44.389,18.516,1464.0,58.0,URdb4bebed7d044aa1b950de158c8b27d3,https://repo.ur.krakow.pl/info/author/URdb4bebed7d044aa1b950de158c8b27d3?lang=pl&r=publication&tab=main,
Barbara Filipek-Mazur,prof. dr hab. inż.,profesor,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0002-6089-5374,,,,5.0,10.0,57.361,25.075,2403.0,96.0,UR0d6b2667025643619353678f1da94806,https://repo.ur.krakow.pl/info/author/UR0d6b2667025643619353678f1da94806?lang=pl&r=publication&tab=main,
"Adam Florkiewicz, prof. URK",dr hab. inż.,profesor uczelni,Katedra Analizy i Oceny Jakości Żywności,Wydział Technologii Żywności,0000-0001-7922-3167,,,,13.0,13.0,127.428,47.764,3531.0,120.0,UR052313ff04b64d6ba8b8b4728f909038,https://repo.ur.krakow.pl/info/author/UR052313ff04b64d6ba8b8b4728f909038?lang=pl&r=publication&tab=main,
Małgorzata Frazik-Adamczyk,dr hab. inż.,adiunkt naukowo-dydaktyczny,,Wydział Biotechnologii i Ogrodnictwa,0000-0002-0927-9226,,,,,,,,11.0,5.0,URf18d5239a69c4dc3875ffae1ccafc617,https://repo.ur.krakow.pl/info/author/URf18d5239a69c4dc3875ffae1ccafc617?lang=pl&r=publication&tab=main,
"Krzysztof Frączek, prof. URK",dr hab. inż.,profesor uczelni,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0003-4533-7662,,,,3.0,9.0,57.165,28.226,2440.0,107.0,URf3aaf7c7e5124f15beaf9e52d583c0f5,https://repo.ur.krakow.pl/info/author/URf3aaf7c7e5124f15beaf9e52d583c0f5?lang=pl&r=publication&tab=main,
Joanna Gadzinowska,,asystent,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,,,,,,3.0,9.443,3.769,187.0,5.0,URfdea9799554c435f812f5d317cc33c9d,https://repo.ur.krakow.pl/info/author/URfdea9799554c435f812f5d317cc33c9d?lang=pl&r=publication&tab=main,
Zbigniew Gajewski,dr hab. inż.,adiunkt,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0001-6333-7901,,,,1.0,5.0,20.255,8.767,649.0,22.0,URc0fefb5f1e9948e5b842ff43d80af8b2,https://repo.ur.krakow.pl/info/author/URc0fefb5f1e9948e5b842ff43d80af8b2?lang=pl&r=publication&tab=main,
Dorota Gala-Czekaj,dr inż.,adiunkt,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0003-0559-2140,,,,5.0,7.0,29.323,12.285,1183.0,55.0,URa7733f6f4db94b179e0a0bffcf2eda9d,https://repo.ur.krakow.pl/info/author/URa7733f6f4db94b179e0a0bffcf2eda9d?lang=pl&r=publication&tab=main,
Florian Gambuś,prof. dr hab. inż.,profesor,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0001-8706-7248,,,,7.0,13.0,77.764,32.649,1892.0,101.0,URafe79f1c0f3d4b4a85e91057309d40f6,https://repo.ur.krakow.pl/info/author/URafe79f1c0f3d4b4a85e91057309d40f6?lang=pl&r=publication&tab=main,
"Marek Gancarz, prof. URK",dr hab.,profesor uczelni,"Katedra Inżynierii Bioprocesów, Energetyki i Automatyzacji",Wydział Inżynierii Produkcji i Energetyki,0000-0003-4719-2954,,,,4.0,19.0,182.827,53.033,5410.0,49.0,UR0100caa105af4d5887d2c5278f282726,https://repo.ur.krakow.pl/info/author/UR0100caa105af4d5887d2c5278f282726?lang=pl&r=publication&tab=main,
Maria Gawęda,prof. dr hab.,profesor nadzwyczajny,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,,,,,3.0,5.0,3.41,3.8,237.0,19.0,UR946ab7e447a64f2d912af440bc847133,https://repo.ur.krakow.pl/info/author/UR946ab7e447a64f2d912af440bc847133?lang=pl&r=publication&tab=main,
"Maciej Gąstoł, prof. URK",dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-7208-8895,,,,1.0,11.0,27.766,15.688,1042.0,46.0,URa3523e45823f4ec6bb9e7513dcb9260a,https://repo.ur.krakow.pl/info/author/URa3523e45823f4ec6bb9e7513dcb9260a?lang=pl&r=publication&tab=main,
Joanna Gil,dr inż.,asystent,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,,,,,7.0,6.0,32.096,13.89,1197.0,22.0,UR086c66d33c4445e5b2b98fc6ed2cad23,https://repo.ur.krakow.pl/info/author/UR086c66d33c4445e5b2b98fc6ed2cad23?lang=pl&r=publication&tab=main,
"Katarzyna Gleń-Karolczyk, prof. URK",dr hab. inż.,profesor uczelni,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0002-0288-559X,,,,6.0,8.0,37.042,14.415,1330.0,46.0,UR55600b8d726c456dacf5e2e271cfefb1,https://repo.ur.krakow.pl/info/author/UR55600b8d726c456dacf5e2e271cfefb1?lang=pl&r=publication&tab=main,
Tomasz Głąb,prof. dr hab. inż.,profesor,"Katedra Eksploatacji Maszyn, Ergonomii i Procesów Produkcyjnych",Wydział Inżynierii Produkcji i Energetyki,0000-0002-8910-250X,,,,13.0,18.0,136.178,64.207,3556.0,64.0,UR4d09c1962a51400ea19f88c07cb61c6d,https://repo.ur.krakow.pl/info/author/UR4d09c1962a51400ea19f88c07cb61c6d?lang=pl&r=publication&tab=main,
Krzysztof Gondek,prof. dr hab. inż.,profesor,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0002-8721-8234,,,,27.0,26.0,263.224,112.019,7544.0,188.0,UR90389092f7f34d6fbd47cd282cfbf4ca,https://repo.ur.krakow.pl/info/author/UR90389092f7f34d6fbd47cd282cfbf4ca?lang=pl&r=publication&tab=main,
"Anna Gorczyca, prof. URK",dr hab. inż.,profesor uczelni,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0002-9431-3870,,,,1.0,14.0,103.394,34.543,2887.0,59.0,UR06547dd228d24f708e7c733f2462d6a9,https://repo.ur.krakow.pl/info/author/UR06547dd228d24f708e7c733f2462d6a9?lang=pl&r=publication&tab=main,
Janina Gospodarek,prof. dr hab. inż.,profesor,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0003-4849-994X,,,,2.0,9.0,114.771,46.353,3983.0,118.0,UR9b37067ae8f942df8f1a082eaeb71971,https://repo.ur.krakow.pl/info/author/UR9b37067ae8f942df8f1a082eaeb71971?lang=pl&r=publication&tab=main,
Aneta Grabowska,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1613-3644,,,,13.0,12.0,26.516,21.078,1071.0,40.0,URaf87124e21c54301be7a93977323ec95,https://repo.ur.krakow.pl/info/author/URaf87124e21c54301be7a93977323ec95?lang=pl&r=publication&tab=main,
Marek Grabowski,prof. dr hab.,profesor,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0003-2286-2675,,,,,2.0,2.568,5.408,298.0,39.0,UR487e505cfeda4761aa81e16832882fd8,https://repo.ur.krakow.pl/info/author/UR487e505cfeda4761aa81e16832882fd8?lang=pl&r=publication&tab=main,
Beata Grygierzec,dr inż.,adiunkt,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0003-2403-8735,,,,3.0,3.0,20.471,10.819,1493.0,167.0,UR8d79026de6864dc38a1811cd930a4f2d,https://repo.ur.krakow.pl/info/author/UR8d79026de6864dc38a1811cd930a4f2d?lang=pl&r=publication&tab=main,
Wiesław Grygierzec,dr inż.,adiunkt,Katedra Statystyki i Polityki Społecznej,Wydział Rolniczo-Ekonomiczny,0000-0003-4693-3829,,,,1.0,2.0,14.417,5.685,698.0,11.0,UR6749e3f583f74b4ea12392cd880d498c,https://repo.ur.krakow.pl/info/author/UR6749e3f583f74b4ea12392cd880d498c?lang=pl&r=publication&tab=main,
Dariusz Grzebelus,prof. dr hab. inż.,profesor,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0001-6999-913X,,,,9.0,15.0,198.642,58.159,4447.0,88.0,UR702b37e197d24eedbfabb2f68e742b08,https://repo.ur.krakow.pl/info/author/UR702b37e197d24eedbfabb2f68e742b08?lang=pl&r=publication&tab=main,
"Ewa Grzebelus, prof. URK",dr hab. inż.,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-2067-585X,,,,16.0,17.0,147.252,54.136,3649.0,79.0,UR86b52b5d8d1340948798e784c76739b2,https://repo.ur.krakow.pl/info/author/UR86b52b5d8d1340948798e784c76739b2?lang=pl&r=publication&tab=main,
Anna Grzesiak,dr inż. arch. kraj.,asystent,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0001-6028-1578,,,,2.0,2.0,8.014,2.912,280.0,8.0,UR5cb75d0696de4ec490454ea624e1b77a,https://repo.ur.krakow.pl/info/author/UR5cb75d0696de4ec490454ea624e1b77a?lang=pl&r=publication&tab=main,
Jacek Grzyb,dr hab. inż.,adiunkt,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0002-5715-9202,,,,3.0,7.0,59.642,17.824,1687.0,94.0,UR95697b851e7b4199b26d7821740f829c,https://repo.ur.krakow.pl/info/author/UR95697b851e7b4199b26d7821740f829c?lang=pl&r=publication&tab=main,
Kamil Gwóźdź,"mgr inż,",asystent,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-7153-2843,,,,,1.0,2.4,0.801,240.0,3.0,URK8f301da302024dca8c7561cef59754dd,https://repo.ur.krakow.pl/info/author/URK8f301da302024dca8c7561cef59754dd?lang=pl&r=publication&tab=main,
"Ewa Hanus-Fajerska, prof. URK",dr hab. inż.,profesor uczelni,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0003-0566-0641,,,,2.0,19.0,116.735,52.139,2942.0,119.0,UR3dd60eb5d50345d2a202cf38af97429d,https://repo.ur.krakow.pl/info/author/UR3dd60eb5d50345d2a202cf38af97429d?lang=pl&r=publication&tab=main,
"Barbara Jagosz, prof. URK",dr hab. inż.,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-2701-8246,,,,1.0,11.0,114.406,49.813,4284.0,72.0,UR41e15cca49d04db5baf4e5952eafa2d5,https://repo.ur.krakow.pl/info/author/UR41e15cca49d04db5baf4e5952eafa2d5?lang=pl&r=publication&tab=main,
"Tomasz Jakubowski, prof. URK",dr hab. inż.,profesor uczelni,"Katedra Eksploatacji Maszyn, Ergonomii i Procesów Produkcyjnych",Wydział Inżynierii Produkcji i Energetyki,0000-0002-5141-2705,,,,11.0,12.0,69.489,31.6,4492.0,161.0,UR30c8eb81b7c44ab5884d698f823bd16b,https://repo.ur.krakow.pl/info/author/UR30c8eb81b7c44ab5884d698f823bd16b?lang=pl&r=publication&tab=main,
Elżbieta Stanisława Jędrszczyk,dr hab. inż.,adiunkt,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0001-7387-3679,,,,4.0,9.0,32.188,19.734,1563.0,71.0,UR3a59f269550b44e298d75674436609c1,https://repo.ur.krakow.pl/info/author/UR3a59f269550b44e298d75674436609c1?lang=pl&r=publication&tab=main,
Agnieszka Józefowska,prof. dr hab. inż.,profesor,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0003-4922-2037,,,,11.0,13.0,123.664,47.204,4030.0,103.0,UR543479a8dcc4489b9ea86b91d3c17b81,https://repo.ur.krakow.pl/info/author/UR543479a8dcc4489b9ea86b91d3c17b81?lang=pl&r=publication&tab=main,
"Barbara Jurczyk, prof. URK",dr hab. inż.,profesor uczelni,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0001-7203-4048,,,,3.0,19.0,152.443,56.762,3150.0,78.0,URfa7d2d478f354a8896acbaea4563ccb0,https://repo.ur.krakow.pl/info/author/URfa7d2d478f354a8896acbaea4563ccb0?lang=pl&r=publication&tab=main,
"Piotr Kacorzyk, prof. URK",dr hab. inż.,profesor uczelni,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0003-1653-9337,,,,5.0,6.0,43.325,20.332,2131.0,104.0,UR01cfc01e14f34e59be3fce498306cf43,https://repo.ur.krakow.pl/info/author/UR01cfc01e14f34e59be3fce498306cf43?lang=pl&r=publication&tab=main,
Andrzej Kalisz,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-8437-9307,,,,18.0,17.0,151.976,68.516,5210.0,98.0,URe7c273b2253743558622f30f494bc1fb,https://repo.ur.krakow.pl/info/author/URe7c273b2253743558622f30f494bc1fb?lang=pl&r=publication&tab=main,
"Anna Kapczyńska, prof. URK",dr hab. inż.,profesor uczelni,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0002-9887-4720,,,,1.0,7.0,62.126,29.24,2454.0,60.0,UR85222e4119694b818800ae26cd36fb50,https://repo.ur.krakow.pl/info/author/UR85222e4119694b818800ae26cd36fb50?lang=pl&r=publication&tab=main,
Marek Kasprowicz,dr,adiunkt,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0001-7955-5006,,,,1.0,6.0,31.824,13.011,800.0,22.0,UR3cf1acfd03594e2da11d602c7387c28e,https://repo.ur.krakow.pl/info/author/UR3cf1acfd03594e2da11d602c7387c28e?lang=pl&r=publication&tab=main,
"Gohar Khachatryan, prof. URK",dr hab.,profesor uczelni,Katedra Analizy i Oceny Jakości Żywności,Wydział Technologii Żywności,0000-0002-4601-7145,,,,15.0,19.0,281.093,83.971,7516.0,106.0,URf8bd1d0231954f4fae7a5c8e6ebbe8ad,https://repo.ur.krakow.pl/info/author/URf8bd1d0231954f4fae7a5c8e6ebbe8ad?lang=pl&r=publication&tab=main,
Daniel Kiełbasa,mgr,asystent,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,,,,,2.0,3.0,17.8,4.634,485.0,6.0,UR8972d897d9e1472ead27a7b84906cc23,https://repo.ur.krakow.pl/info/author/UR8972d897d9e1472ead27a7b84906cc23?lang=pl&r=publication&tab=main,
"Agnieszka Kiełkowska, prof. URK",dr hab. inż.,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1141-2011,,,,2.0,13.0,69.253,28.528,1886.0,50.0,UR6d7543a692e04f249a7ab2c0da65d956,https://repo.ur.krakow.pl/info/author/UR6d7543a692e04f249a7ab2c0da65d956?lang=pl&r=publication&tab=main,
Kazimierz Klima,prof. dr hab. inż.,"profesor, kierownik Studiów Podyplomowych – Rolnictwo ekologiczne - produkcja i certyfikacja, produkty tradycyjne i regionalne",Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-5878-8908,,,,4.0,8.0,23.025,10.391,996.0,62.0,UR750890b250004c4d94c1b74cc20c2f2f,https://repo.ur.krakow.pl/info/author/UR750890b250004c4d94c1b74cc20c2f2f?lang=pl&r=publication&tab=main,
