profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Małgorzata Malik,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0002-4502-2057,,,,,6.0,14.41,7.118,693.0,27.0,URbb3977c7dce44c50ae66bd762a8eda4e,https://repo.ur.krakow.pl/info/author/URbb3977c7dce44c50ae66bd762a8eda4e?lang=pl&r=publication&tab=main,
Krystian Marzec,mgr inż.,asystent,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-4796-4224,,,,1.0,3.0,16.2,3.92,360.0,4.0,URKce8a31e100d64c50a811987a761aabe6,https://repo.ur.krakow.pl/info/author/URKce8a31e100d64c50a811987a761aabe6?lang=pl&r=publication&tab=main,
Małgorzata Maślanka,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0002-4251-0928,,,,,5.0,25.794,11.296,911.0,32.0,UR7f7aabc08f274735b0762bfe57140854,https://repo.ur.krakow.pl/info/author/UR7f7aabc08f274735b0762bfe57140854?lang=pl&r=publication&tab=main,
Justyna Mazur,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0001-5685-1603,,,,1.0,3.0,19.39,7.929,819.0,29.0,UR47a181b9e59d4ad986dc35a4351e5b7a,https://repo.ur.krakow.pl/info/author/UR47a181b9e59d4ad986dc35a4351e5b7a?lang=pl&r=publication&tab=main,
Stanisław Mazur,prof. dr hab. inż.,profesor,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0003-0325-4391,,,,1.0,5.0,31.63,11.647,1093.0,45.0,URf1de9aff63c54ae488501c0fa7ec90ad,https://repo.ur.krakow.pl/info/author/URf1de9aff63c54ae488501c0fa7ec90ad?lang=pl&r=publication&tab=main,
Anna Miechówka,prof. dr hab. inż.,profesor,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0003-2858-8136,,,,2.0,7.0,18.46,11.486,691.0,37.0,URc9271b2935494f24ae7adcf2f22b946f,https://repo.ur.krakow.pl/info/author/URc9271b2935494f24ae7adcf2f22b946f?lang=pl&r=publication&tab=main,
Amisalu Milkias Misebo,,,Katedra Inżynierii Ekologicznej i Hydrologii Leśnej,Wydział Leśny,,,,,3.0,4.0,39.049,11.667,1540.0,11.0,UR7a6cdaecde384cac8a2aff0dbad79441,https://repo.ur.krakow.pl/info/author/UR7a6cdaecde384cac8a2aff0dbad79441?lang=pl&r=publication&tab=main,
Paweł Mundała,dr inż.,asystent,"Katedra Ekologii, Klimatologii i Ochrony Powietrza",Wydział Inżynierii Środowiska i Geodezji,0000-0003-1226-0662,,,,4.0,5.0,18.544,8.937,737.0,32.0,16099,https://repo.ur.krakow.pl/info/author/16099?lang=pl&r=publication&tab=main,
Piotr Muras,dr hab. inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0001-9561-5005,,,,1.0,3.0,8.731,3.959,470.0,33.0,UR710bf454aa0640358e86a36b6cfb02e2,https://repo.ur.krakow.pl/info/author/UR710bf454aa0640358e86a36b6cfb02e2?lang=pl&r=publication&tab=main,
Jacek Nawrocki,dr hab. inż.,adiunkt,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0003-2664-8393,,,,3.0,6.0,18.823,10.12,988.0,61.0,UR7dc78b732f7e40058308856b85166050,https://repo.ur.krakow.pl/info/author/UR7dc78b732f7e40058308856b85166050?lang=pl&r=publication&tab=main,
