profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Stanisława Szczepaniak,dr hab.,,,,0000-0001-8738-3531,,7d176e37-04fd-40cc-9c84-95bf6b119279,rolnictwo i ogrodnictwo,,,,,,0,25873382-f430-4b71-9da0-420e51256f9a,https://sciencerep.up.poznan.pl/entities/person/25873382-f430-4b71-9da0-420e51256f9a,
Anna Wojdyła-Mamoń,mgr inż.,,,,0000-0003-4263-7600,,3e68fdd1-8fb9-42db-ae4f-c047fe1ccc9a,rolnictwo i ogrodnictwo,,,,,,1,0fd4b0be-6325-4028-8976-3453f43d59c6,https://sciencerep.up.poznan.pl/entities/person/0fd4b0be-6325-4028-8976-3453f43d59c6,
Katarzyna Ambroży-Deręgowska,dr,,,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0003-2089-9247,,d9dc3b94-2644-4924-9408-6d92430fe406,rolnictwo i ogrodnictwo,,,34.2,,1155.0,16,919f3ec8-d5e5-4ffd-8121-079d9385bfe3,https://sciencerep.up.poznan.pl/entities/person/919f3ec8-d5e5-4ffd-8121-079d9385bfe3,
Agnieszka Anna Klarzyńska,dr,,,,0000-0002-6602-4721,,5c530286-f07c-4c81-9100-0e18bda7c4da,"rolnictwo i ogrodnictwo, nauki o Ziemi i środowisku",,,14.4,,570.0,7,3444c2ae-3d82-4bae-b6b6-d869508f2ebb,https://sciencerep.up.poznan.pl/entities/person/3444c2ae-3d82-4bae-b6b6-d869508f2ebb,
Michał Jasiński,prof. dr hab.,,,,0000-0003-0904-5873,,9e340601-bf6f-4888-ae0b-65552e2f73ee,rolnictwo i ogrodnictwo,,,5.7,,140.0,1,e640ca9f-806b-4fe6-becb-615098483165,https://sciencerep.up.poznan.pl/entities/person/e640ca9f-806b-4fe6-becb-615098483165,
Remigiusz Piotr Łukowiak,dr hab.,,,,0000-0003-1945-5665,,3eeb1b0c-b77a-4768-8e49-56065e9e3145,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,34.6,,850.0,10,df8585e8-8edd-4880-8452-af8a8daf0ec8,https://sciencerep.up.poznan.pl/entities/person/df8585e8-8edd-4880-8452-af8a8daf0ec8,
Hanna Elzbieta Dorna,dr hab.,,,,0000-0002-9178-7181,,dcf3ef8d-2f32-4b6b-9a0f-5ececc10d6f9,rolnictwo i ogrodnictwo,,,10.0,,340.0,4,b692ec09-231a-47f7-8bfe-798b6e624bfb,https://sciencerep.up.poznan.pl/entities/person/b692ec09-231a-47f7-8bfe-798b6e624bfb,
Monika Maria Grzanka,dr,,Katedra Agronomii,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0003-1470-7026,,369a3a18-8237-48b2-8d13-3c8e747e3b92,rolnictwo i ogrodnictwo,,,66.4,,2450.0,39,ef3ba40f-48c3-4890-9ae0-eb39c599191a,https://sciencerep.up.poznan.pl/entities/person/ef3ba40f-48c3-4890-9ae0-eb39c599191a,
Bogna Zawieja,dr hab.,,,,0000-0003-3137-3478,,84d816e5-5e5f-417f-bdfe-9be9ccc590e8,"rolnictwo i ogrodnictwo, technologia żywności i żywienia",,,32.6,,1355.0,19,622e3ab9-4367-448f-ab96-9431a4e5190b,https://sciencerep.up.poznan.pl/entities/person/622e3ab9-4367-448f-ab96-9431a4e5190b,
Krzysztof Pudełko,dr hab.,,,,0000-0003-2712-7135,,54c25643-a6d5-4757-8f37-bbcf937f54f6,rolnictwo i ogrodnictwo,,,2.8,,140.0,1,337fcb76-e8cd-493a-b82a-4c3767b6fc9f,https://sciencerep.up.poznan.pl/entities/person/337fcb76-e8cd-493a-b82a-4c3767b6fc9f,
Marek Bunalski,dr hab.,,,,0000-0001-6969-7625,,60e6fa66-3167-4f6d-a231-9d32cc5f4967,rolnictwo i ogrodnictwo,,,1.3,,170.0,21,8998bca9-a2de-4681-ad47-bdc6d68db180,https://sciencerep.up.poznan.pl/entities/person/8998bca9-a2de-4681-ad47-bdc6d68db180,
Barbara Anna Osiadacz,dr hab.,,,,0000-0003-2178-2657,,703e7ad0-2410-487b-b1ba-78646ce7a211,rolnictwo i ogrodnictwo,,,,,20.0,2,f74ce10b-ffe8-4d9e-bc14-17e9c60586b3,https://sciencerep.up.poznan.pl/entities/person/f74ce10b-ffe8-4d9e-bc14-17e9c60586b3,
Leszek Bednorz,dr hab.,,,,0000-0001-5099-7652,,29f4e29e-b51d-4da8-85af-404fcb9d2314,rolnictwo i ogrodnictwo,,,6.3,,360.0,6,9aa4e161-fa25-4b39-8845-b78ecb06e976,https://sciencerep.up.poznan.pl/entities/person/9aa4e161-fa25-4b39-8845-b78ecb06e976,
Janetta Maria Niemann,dr hab.,,,,0000-0002-8011-9487,,201faf7f-3f4b-46f3-86d3-2de81792d97d,"rolnictwo i ogrodnictwo, biotechnologia",,,58.1,,1965.0,32,20597688-8be2-4b58-9e15-29f5ff8c53aa,https://sciencerep.up.poznan.pl/entities/person/20597688-8be2-4b58-9e15-29f5ff8c53aa,
Ewa Alicja Skotarczak,dr,,,,0000-0001-5563-5431,,3ef13cd8-b398-468c-adc5-d81b8605d9ad,"rolnictwo i ogrodnictwo, zootechnika i rybactwo",,,12.0,,500.0,6,4e18c961-ace4-49d5-bbf6-ca067aee8a05,https://sciencerep.up.poznan.pl/entities/person/4e18c961-ace4-49d5-bbf6-ca067aee8a05,
Barbara Politycka,prof. dr hab.,,,,0000-0002-5078-6596,,e28df474-6770-4254-8eb8-f228fca91f88,rolnictwo i ogrodnictwo,,,,,20.0,1,269cc118-4e24-4e0b-afd3-3bea639bc4f6,https://sciencerep.up.poznan.pl/entities/person/269cc118-4e24-4e0b-afd3-3bea639bc4f6,
Stanisław Grześ,dr hab.,,,,0000-0003-2672-4288,,800ffcc3-c4e1-4ea5-85b1-88918b74b8a3,rolnictwo i ogrodnictwo,,,,,40.0,2,8ebe9f30-7068-432f-9189-1c85b0048837,https://sciencerep.up.poznan.pl/entities/person/8ebe9f30-7068-432f-9189-1c85b0048837,
Magda Anna Formela-Luboińska,dr,,Katedra Fizjologii Roślin,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0003-4341-5399,,63c9b948-98b7-4c62-bf01-e9ce6be8116a,rolnictwo i ogrodnictwo,,,11.3,,470.0,6,9861de92-2d0b-4d3f-ac43-d7ac7fc74706,https://sciencerep.up.poznan.pl/entities/person/9861de92-2d0b-4d3f-ac43-d7ac7fc74706,
Agnieszka Maria Faligowska,dr hab.,,Katedra Agronomii,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-6908-2812,,67aa809e-f33f-4980-90ad-33b43daa5e9a,rolnictwo i ogrodnictwo,,,31.4,,1200.0,20,3ea7a888-8c5d-44e0-9b08-0486dff04861,https://sciencerep.up.poznan.pl/entities/person/3ea7a888-8c5d-44e0-9b08-0486dff04861,
Hanna Bandurska,prof. dr hab.,,,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0003-4424-7614,,3513855f-5af8-4c2d-a929-4e644bb23c53,rolnictwo i ogrodnictwo,,,23.2,,580.0,6,8692b13e-5aa5-4054-a8df-f5bba2ed4c9f,https://sciencerep.up.poznan.pl/entities/person/8692b13e-5aa5-4054-a8df-f5bba2ed4c9f,
Grzegorz Łysiak,dr hab.,,"Katedra Roślin Ozdobnych, Dendrologii i Sadownictwa","Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-6677-1532,,d7b3c5ce-dd6a-4b34-ac05-4130179b6977,rolnictwo i ogrodnictwo,,,68.3,,2150.0,22,a6704595-1046-4992-a8ae-74e2ea364489,https://sciencerep.up.poznan.pl/entities/person/a6704595-1046-4992-a8ae-74e2ea364489,
Wojciech Owczarzak,prof. dr hab.,,,,0000-0003-1958-1039,,8fb7f3b7-f4d3-4c70-9cd8-55c3977dc2a2,rolnictwo i ogrodnictwo,,,,,80.0,1,8d249806-b44c-44a0-8e7d-142038f06d20,https://sciencerep.up.poznan.pl/entities/person/8d249806-b44c-44a0-8e7d-142038f06d20,
Sławomir Janyszek,dr,,,,0000-0003-0965-8442,,5f11c552-6816-462d-85ad-cd092142331b,"rolnictwo i ogrodnictwo, nauki o Ziemi i środowisku",,,,,40.0,2,23277737-5ecd-4610-95ad-311c36f41067,https://sciencerep.up.poznan.pl/entities/person/23277737-5ecd-4610-95ad-311c36f41067,
Sylwia Dorota Sosnowska,dr,,,,0000-0001-9356-7433,,3566727b-0cd7-4476-9b7d-97ea19f529d5,"sztuki plastyczne i konserwacja dzieł sztuki, rolnictwo i ogrodnictwo",,,,,,0,5d28cbf5-019a-4514-90a8-a455cc69b3ae,https://sciencerep.up.poznan.pl/entities/person/5d28cbf5-019a-4514-90a8-a455cc69b3ae,
Piotr Mieczysław Rybacki,dr hab.,,Katedra Agronomii,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0001-7223-6491,,33704968-a28d-446c-a1e6-b7ab97318959,"inżynieria mechaniczna, rolnictwo i ogrodnictwo",,,35.5,,1580.0,19,110d6c25-5395-4f20-b8e7-5e160c853b52,https://sciencerep.up.poznan.pl/entities/person/110d6c25-5395-4f20-b8e7-5e160c853b52,
Anna Przybylska-Balcerek,dr,,,,0000-0002-0481-6416,,da932610-67f8-440f-ab00-ea1415b8b05f,"nauki leśne, rolnictwo i ogrodnictwo",,,109.89999999999999,,3560.0,33,99aed1fd-67ac-43f9-b5e5-392ea7cd426f,https://sciencerep.up.poznan.pl/entities/person/99aed1fd-67ac-43f9-b5e5-392ea7cd426f,
Zuzanna Sawinska,dr hab.,,,,0000-0002-7030-3221,,43fc6d64-74d8-46f0-8862-1e9b9c12aae0,rolnictwo i ogrodnictwo,,,69.6,,1720.0,22,c958793f-eed3-43f8-afcc-10e1aa232f24,https://sciencerep.up.poznan.pl/entities/person/c958793f-eed3-43f8-afcc-10e1aa232f24,
Justyna Irena Starzyk,dr hab.,,,,0000-0002-8295-5980,,8448c170-ccdf-4bd2-bf0c-131b0432aaca,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,31.3,,980.0,9,1e124447-5576-474f-b662-b24f9118c42d,https://sciencerep.up.poznan.pl/entities/person/1e124447-5576-474f-b662-b24f9118c42d,
Małgorzata Marszałek,mgr inż.,,,,,,7116b1ae-a8c3-40f4-9ffa-4b0c6789bb85,"rolnictwo i ogrodnictwo, biotechnologia",,,6.2,,340.0,3,2fb63e47-45e2-4428-a900-9b81f3b55616,https://sciencerep.up.poznan.pl/entities/person/2fb63e47-45e2-4428-a900-9b81f3b55616,
Barbara Kurpisz,dr,,,,0000-0002-1624-0514,,dc4e2e5d-598c-49bd-916a-3aa3af619f84,rolnictwo i ogrodnictwo,,,21.599999999999998,,480.0,4,08471968-0a68-4f5f-a975-03aa3a75c3ac,https://sciencerep.up.poznan.pl/entities/person/08471968-0a68-4f5f-a975-03aa3a75c3ac,
Andrzej Blecharczyk,prof. dr hab.,,Katedra Agronomii,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-8688-3136,,c66d7c5f-1bfe-43f4-b3c9-4d68a99467fc,rolnictwo i ogrodnictwo,,,69.0,,1230.0,12,de4de1ad-80de-47cf-917d-4d6f9bfe20bf,https://sciencerep.up.poznan.pl/entities/person/de4de1ad-80de-47cf-917d-4d6f9bfe20bf,
Janusz Nowacki,prof. dr hab.,,,,0000-0003-0221-0282,,c242911f-6db5-403b-9bd9-e81b295b23bb,rolnictwo i ogrodnictwo,,,0.2,,125.0,11,ebc5a965-7090-4b97-abb9-cc8182dc3e60,https://sciencerep.up.poznan.pl/entities/person/ebc5a965-7090-4b97-abb9-cc8182dc3e60,
Jerzy Nawracała,dr hab.,,,,0000-0002-6824-156X,,d8f37be2-899b-4de6-9e11-481c6b0812e7,rolnictwo i ogrodnictwo,,,10.6,,480.0,5,6722cf4e-e1bd-4281-81fb-a6c1618817c8,https://sciencerep.up.poznan.pl/entities/person/6722cf4e-e1bd-4281-81fb-a6c1618817c8,
Agnieszka Jasińska,dr,,,,0000-0002-9106-2084,,0d5ec015-b979-4dbb-99c1-716639b913b7,rolnictwo i ogrodnictwo,,,15.0,,320.0,6,b8dc1191-79ed-4db8-a7e7-fb277e6e92dd,https://sciencerep.up.poznan.pl/entities/person/b8dc1191-79ed-4db8-a7e7-fb277e6e92dd,
Robert Idziak,dr hab.,,,,0000-0002-1621-9184,,4f75a38f-296d-4eec-94f7-395ed1de09ae,rolnictwo i ogrodnictwo,,,61.3,,2140.0,31,76c5c1f5-b5b8-4eba-b333-518a28b65268,https://sciencerep.up.poznan.pl/entities/person/76c5c1f5-b5b8-4eba-b333-518a28b65268,
Małgorzata Neumann,dr,,,,,,f8472cf1-7d62-48c3-ad66-478b0b704cb6,rolnictwo i ogrodnictwo,,,11.2,,420.0,6,64576675-d49e-41c9-94e3-a9573c320f72,https://sciencerep.up.poznan.pl/entities/person/64576675-d49e-41c9-94e3-a9573c320f72,
Danuta Maria Kurasiak-Popowska,dr hab.,,Katedra Genetyki i Hodowli Roślin,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-2214-406X,,d5805e4c-69d0-406d-9ff0-ae57c65532ce,rolnictwo i ogrodnictwo,,,56.4,,1740.0,20,f05e8789-119d-453f-9d8c-5ae717b7917e,https://sciencerep.up.poznan.pl/entities/person/f05e8789-119d-453f-9d8c-5ae717b7917e,
Marek Robert Selwet,dr hab.,,Katedra Gleboznawstwa i Mikrobiologii,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-1004-7254,,56d14935-eb16-41fc-b2bc-7320cf12c15d,rolnictwo i ogrodnictwo,,,29.7,,870.0,11,4211d295-13ed-48de-af9c-e53b90ced904,https://sciencerep.up.poznan.pl/entities/person/4211d295-13ed-48de-af9c-e53b90ced904,
Katarzyna Nuc,dr hab.,,,,0000-0001-9875-3112,,90dfe160-8eda-4480-b497-7bf74e5175ce,"rolnictwo i ogrodnictwo, biotechnologia",,,13.200000000000001,,380.0,3,f23de9f1-7797-4798-8362-6d5d20dccdef,https://sciencerep.up.poznan.pl/entities/person/f23de9f1-7797-4798-8362-6d5d20dccdef,
Barbara Frąszczak,dr hab.,,,,0000-0001-7931-6451,,7bbdcab3-dd18-4cf7-8cae-65cb266df5b5,rolnictwo i ogrodnictwo,,,59.6,,1630.0,16,5fdbcecb-f41c-44db-a313-f0f38de3f651,https://sciencerep.up.poznan.pl/entities/person/5fdbcecb-f41c-44db-a313-f0f38de3f651,
Jarosław Potarzycki,dr hab.,,,,0000-0002-3658-2394,,5a109bc6-cda2-4eb5-949d-538098531694,rolnictwo i ogrodnictwo,,,32.7,,840.0,9,75cca0c1-25cb-42f9-b871-1086325dbb50,https://sciencerep.up.poznan.pl/entities/person/75cca0c1-25cb-42f9-b871-1086325dbb50,
Tadeusz Michalski,prof. dr hab.,,,,,,9dc0f1b2-03e8-4cdf-ad38-0a2d46e2855f,rolnictwo i ogrodnictwo,,,,,,0,44d295ec-78c0-4f2c-9050-884bdaa6a1ef,https://sciencerep.up.poznan.pl/entities/person/44d295ec-78c0-4f2c-9050-884bdaa6a1ef,
Kamila Tomaszyk,dr,,,,0000-0001-6297-1580,,c5afbc1c-6e65-4933-8fb6-10a225990db6,rolnictwo i ogrodnictwo,,,145.9,,5660.0,59,20b7e0c6-f9be-4a0e-b5c7-dd3f22fa47d3,https://sciencerep.up.poznan.pl/entities/person/20b7e0c6-f9be-4a0e-b5c7-dd3f22fa47d3,
Jolanta Floryszak-Wieczorek,prof. dr hab.,,,,0000-0003-2281-223X,,86c7dd57-864c-4aa6-84a5-e2ff3aab12b8,"rolnictwo i ogrodnictwo, nauki biologiczne",,,56.2,,1060.0,8,4e2dc392-8cf9-4b89-a596-333bcc45d7cd,https://sciencerep.up.poznan.pl/entities/person/4e2dc392-8cf9-4b89-a596-333bcc45d7cd,
Dorota Narożna,dr hab.,,,,0000-0003-3455-3044,,52835788-3c9c-41fb-bb3a-77f08f7f1c0a,"rolnictwo i ogrodnictwo, biotechnologia",,,29.5,,750.0,10,789ea30a-f0af-454d-b257-827c734e8291,https://sciencerep.up.poznan.pl/entities/person/789ea30a-f0af-454d-b257-827c734e8291,
Marek Siwulski,prof. dr hab.,,Katedra Warzywnictwa,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0001-7185-5039,,2db877a9-11e0-43ec-8582-f91e6c31e4f5,rolnictwo i ogrodnictwo,,,116.898,,2920.0,29,8786358f-edf5-4c7f-84cf-56861e61928f,https://sciencerep.up.poznan.pl/entities/person/8786358f-edf5-4c7f-84cf-56861e61928f,
