profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Edvin Hevorkian,,Profesor uczelni,,,,,,,,,,,0.0,0.0,3439,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3439?obiektId=Osoby,
Jan Hodara,,,,,,,,,,,,,15.0,18.0,1384,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1384?obiektId=Osoby,
Krzysztof Hołowacz,,pracownik gospodarczy,,,,,,,,,,,0.0,0.0,2758,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2758?obiektId=Osoby,
Jerzy Horbowski-Zaranek,,starszy specjalista,,,,,,,,,,,0.0,0.0,2759,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2759?obiektId=Osoby,
Beata Horecka,,adiunkt posiadający st. nauk. dr,,,0000-0003-0997-9684,44961023100,,,,,,,1455.0,60.0,727,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/727?obiektId=Osoby,
Paulina Hortyńska,,adiunkt posiadający st. nauk. dr,,,0000-0002-3532-5484,,,,,,,,509.0,18.0,713,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/713?obiektId=Osoby,
Jerzy Hortyński,,,,,,,,,,,,,108.0,37.0,1468,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1468?obiektId=Osoby,
Magdalena Huszcza,,pracownik pomocniczy,,,,,,,,,,,0.0,0.0,3628,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3628?obiektId=Osoby,
Szymon Ignaciuk,,adiunkt posiadający st. nauk. dr,,,0000-0001-8288-2833,57208337853,,,,,,,1502.0,42.0,1140,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1140?obiektId=Osoby,
Janusz Igras,,Profesor,,,,,,,,,,,0.0,0.0,3569,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3569?obiektId=Osoby,
Andrew Ikingura,,doktorant,,,0009-0008-0531-7046,,,,,,,,0.0,0.0,3672,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3672?obiektId=Osoby,
Sławomir Iracki,,specjalista,,,,,,,,,,,0.0,0.0,3337,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3337?obiektId=Osoby,
Savelii Ishchenko,,doktorant,,,,,,,,,,,0.0,0.0,3589,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3589?obiektId=Osoby,
Oleh Ivanchuk,,adiunkt posiadający st. nauk. dr hab.,,,,,,,,,,,0.0,0.0,3380,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3380?obiektId=Osoby,
Anna Iwanicka,,,,,,,,,,,,,372.0,47.0,604,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/604?obiektId=Osoby,
Ewa Jabłońska-Ryś,,Profesor uczelni,,,0000-0003-4777-7258,55256225200,,,,,,,2351.0,130.0,328,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/328?obiektId=Osoby,
Karolina Jachimowicz-Rogowska,,asystent,,,0000-0001-7540-813X,57221412745,,,,,,,3360.0,70.0,3151,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3151?obiektId=Osoby,
